,Metabolism,Value,SampleID,Plate
D_xylose,carbohydrate,1.5819,3,3
I_Erytritol,carbohydrate,1.0459,3,3
D_Mannitol,carbohydrate,2.0185,3,3
N_acetyl_D_glucosamine,carbohydrate,1.7132,3,3
D_glucosaminic_acid,carboxylic_acid,2.2226,3,3
Glucose_1_phosphate,phosphorylated,2.1333,3,3
D_L_alpha_glycerol_phospate,phosphorylated,1.8917,3,3
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1077,3,3
D_galactouronic_acid,carboxylic_acid,1.8148,3,3
two_hydroxy_benzoic_Acid,carboxylic_acid,2.0784,3,3
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9232,3,3
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1459,3,3
Itaconic_Acid,carboxylic_acid,2.0439,3,3
alpha_keto_butyric_acid,carboxylic_acid,2.3147,3,3
D_malic_Acid,carboxylic_acid,1.7507,3,3
L_Arginine,aminoacid,1.9869999999999999,3,3
L_Asparagine,aminoacid,1.7794,3,3
L_phenylalanine,aminoacid,1.4961,3,3
L_serine,aminoacid,2.2643,3,3
L_threonine,aminoacid,2.1678,3,3
Glycyl_L_glutamic_Acid,aminoacid,1.7696,3,3
Phenylethyl_amine,amine,1.8289,3,3
Putrescine,amine,2.0269,3,3
Water,control,0.8559,1,4
Pyruvic_acid_methyl_esther,ester,1.8077,1,4
Tween40,polymer,1.845,1,4
Tween80,polymer,1.7315,1,4
alpha_cyclodextrin,polymer,1.6735,1,4
Glycogen,polymer,2.219,1,4
D_cellobiose,carbohydrate,1.8346,1,4
alfa_D_Lactose,carbohydrate,1.865,1,4
Beta_methyl_D_glucoside,carbohydrate,1.7451,1,4
D_xylose,carbohydrate,1.5194,1,4
I_Erytritol,carbohydrate,0.6737,1,4
D_Mannitol,carbohydrate,2.1191,1,4
N_acetyl_D_glucosamine,carbohydrate,1.7877,1,4
D_glucosaminic_acid,carboxylic_acid,2.1245,1,4
Glucose_1_phosphate,phosphorylated,2.1598,1,4
D_L_alpha_glycerol_phospate,phosphorylated,1.8165,1,4
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1129,1,4
D_galactouronic_acid,carboxylic_acid,1.8017,1,4
two_hydroxy_benzoic_Acid,carboxylic_acid,2.0709,1,4
four_hydroxy_benzoic_Acid,carboxylic_acid,1.6228,1,4
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.7019,1,4
Itaconic_Acid,carboxylic_acid,1.864,1,4
alpha_keto_butyric_acid,carboxylic_acid,2.1531,1,4
D_malic_Acid,carboxylic_acid,1.5574,1,4
L_Arginine,aminoacid,1.9679,1,4
L_Asparagine,aminoacid,1.7242,1,4
L_phenylalanine,aminoacid,1.693,1,4
L_serine,aminoacid,2.1101,1,4
L_threonine,aminoacid,2.0111,1,4
Glycyl_L_glutamic_Acid,aminoacid,1.51,1,4
Phenylethyl_amine,amine,1.9745,1,4
Putrescine,amine,2.0433,1,4
Water,control,1.5778,2,4
Pyruvic_acid_methyl_esther,ester,2.1116,2,4
Tween40,polymer,2.0913,2,4
Tween80,polymer,2.2919,2,4
alpha_cyclodextrin,polymer,2.0833,2,4
Glycogen,polymer,2.3373,2,4
D_cellobiose,carbohydrate,2.0472,2,4
alfa_D_Lactose,carbohydrate,2.4592,2,4
Beta_methyl_D_glucoside,carbohydrate,2.115,2,4
D_xylose,carbohydrate,1.6646,2,4
I_Erytritol,carbohydrate,2.3329,2,4
D_Mannitol,carbohydrate,2.1478,2,4
N_acetyl_D_glucosamine,carbohydrate,2.0071,2,4
D_glucosaminic_acid,carboxylic_acid,2.3251,2,4
Glucose_1_phosphate,phosphorylated,2.332,2,4
D_L_alpha_glycerol_phospate,phosphorylated,2.2398,2,4
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4651,2,4
D_galactouronic_acid,carboxylic_acid,2.1561,2,4
two_hydroxy_benzoic_Acid,carboxylic_acid,2.5178,2,4
four_hydroxy_benzoic_Acid,carboxylic_acid,1.7458,2,4
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0834,2,4
Itaconic_Acid,carboxylic_acid,2.1115,2,4
alpha_keto_butyric_acid,carboxylic_acid,2.3942,2,4
D_malic_Acid,carboxylic_acid,1.9345,2,4
L_Arginine,aminoacid,2.166,2,4
L_Asparagine,aminoacid,1.9501,2,4
L_phenylalanine,aminoacid,1.7935,2,4
L_serine,aminoacid,2.5507,2,4
L_threonine,aminoacid,2.1217,2,4
Glycyl_L_glutamic_Acid,aminoacid,1.9998,2,4
Phenylethyl_amine,amine,2.0197,2,4
Putrescine,amine,2.2165,2,4
Water,control,1.1659,3,4
Pyruvic_acid_methyl_esther,ester,1.6837,3,4
Tween40,polymer,1.9557,3,4
Tween80,polymer,1.9257,3,4
alpha_cyclodextrin,polymer,1.6699,3,4
Glycogen,polymer,2.1663,3,4
D_cellobiose,carbohydrate,1.9411,3,4
alfa_D_Lactose,carbohydrate,1.9876,3,4
Beta_methyl_D_glucoside,carbohydrate,1.7634,3,4
D_xylose,carbohydrate,1.3325,3,4
I_Erytritol,carbohydrate,1.2298,3,4
D_Mannitol,carbohydrate,1.7413,3,4
N_acetyl_D_glucosamine,carbohydrate,1.7561,3,4
D_glucosaminic_acid,carboxylic_acid,2.1762,3,4
Glucose_1_phosphate,phosphorylated,2.26,3,4
D_L_alpha_glycerol_phospate,phosphorylated,2.0399,3,4
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2219,3,4
D_galactouronic_acid,carboxylic_acid,2.0189,3,4
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2836,3,4
four_hydroxy_benzoic_Acid,carboxylic_acid,1.6086,3,4
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9703,3,4
Itaconic_Acid,carboxylic_acid,2.0871,3,4
alpha_keto_butyric_acid,carboxylic_acid,2.3819,3,4
D_malic_Acid,carboxylic_acid,1.665,3,4
L_Arginine,aminoacid,2.238,3,4
L_Asparagine,aminoacid,1.5309,3,4
L_phenylalanine,aminoacid,1.2966,3,4
L_serine,aminoacid,2.26,3,4
L_threonine,aminoacid,2.0999,3,4
Glycyl_L_glutamic_Acid,aminoacid,1.3662,3,4
Phenylethyl_amine,amine,1.9174,3,4
Putrescine,amine,1.9622,3,4
Water,control,1.5074,1,5
Pyruvic_acid_methyl_esther,ester,2.1399,1,5
Tween40,polymer,1.8227,1,5
Tween80,polymer,2.0762,1,5
alpha_cyclodextrin,polymer,2.0611,1,5
Glycogen,polymer,2.2561,1,5
D_cellobiose,carbohydrate,1.9183,1,5
alfa_D_Lactose,carbohydrate,2.0757,1,5
Beta_methyl_D_glucoside,carbohydrate,1.8098,1,5
D_xylose,carbohydrate,1.8828,1,5
I_Erytritol,carbohydrate,1.4627,1,5
D_Mannitol,carbohydrate,2.0318,1,5
N_acetyl_D_glucosamine,carbohydrate,1.8521,1,5
D_glucosaminic_acid,carboxylic_acid,2.3975,1,5
Glucose_1_phosphate,phosphorylated,2.0305,1,5
D_L_alpha_glycerol_phospate,phosphorylated,2.0246,1,5
D_galactonic_acid_gama_lactone,carboxylic_acid,2.3772,1,5
D_galactouronic_acid,carboxylic_acid,2.1849,1,5
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3167,1,5
four_hydroxy_benzoic_Acid,carboxylic_acid,2.1868,1,5
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.8973,1,5
Itaconic_Acid,carboxylic_acid,1.9714,1,5
alpha_keto_butyric_acid,carboxylic_acid,1.9989,1,5
D_malic_Acid,carboxylic_acid,1.78,1,5
L_Arginine,aminoacid,1.9427,1,5
L_Asparagine,aminoacid,2.0544,1,5
L_phenylalanine,aminoacid,1.6702,1,5
L_serine,aminoacid,2.3598,1,5
L_threonine,aminoacid,2.1191,1,5
Glycyl_L_glutamic_Acid,aminoacid,1.9222,1,5
Phenylethyl_amine,amine,2.1187,1,5
Putrescine,amine,2.1976,1,5
Water,control,1.7786,2,5
Pyruvic_acid_methyl_esther,ester,1.8247,2,5
Tween40,polymer,1.8803,2,5
Tween80,polymer,1.9880000000000002,2,5
alpha_cyclodextrin,polymer,1.7604,2,5
Glycogen,polymer,2.2837,2,5
D_cellobiose,carbohydrate,1.8788,2,5
alfa_D_Lactose,carbohydrate,2.475,2,5
Beta_methyl_D_glucoside,carbohydrate,1.9405,2,5
D_xylose,carbohydrate,1.9546,2,5
I_Erytritol,carbohydrate,1.9005,2,5
D_Mannitol,carbohydrate,2.1698,2,5
N_acetyl_D_glucosamine,carbohydrate,1.8106,2,5
D_glucosaminic_acid,carboxylic_acid,2.2706,2,5
Glucose_1_phosphate,phosphorylated,2.0289,2,5
D_L_alpha_glycerol_phospate,phosphorylated,2.0933,2,5
D_galactonic_acid_gama_lactone,carboxylic_acid,2.28,2,5
D_galactouronic_acid,carboxylic_acid,2.0540000000000003,2,5
two_hydroxy_benzoic_Acid,carboxylic_acid,2.1108,2,5
four_hydroxy_benzoic_Acid,carboxylic_acid,2.3657,2,5
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0438,2,5
Itaconic_Acid,carboxylic_acid,2.3296,2,5
alpha_keto_butyric_acid,carboxylic_acid,2.224,2,5
D_malic_Acid,carboxylic_acid,1.8079,2,5
L_Arginine,aminoacid,2.1063,2,5
L_Asparagine,aminoacid,1.8776,2,5
L_phenylalanine,aminoacid,1.6929,2,5
L_serine,aminoacid,2.3723,2,5
L_threonine,aminoacid,2.173,2,5
Glycyl_L_glutamic_Acid,aminoacid,1.8955,2,5
Phenylethyl_amine,amine,1.7116,2,5
Putrescine,amine,2.3158,2,5
Water,control,2.008,3,5
Pyruvic_acid_methyl_esther,ester,1.8758,3,5
Tween40,polymer,1.8249,3,5
Tween80,polymer,1.9334,3,5
alpha_cyclodextrin,polymer,1.8359999999999999,3,5
Glycogen,polymer,2.1761,3,5
D_cellobiose,carbohydrate,1.8768,3,5
alfa_D_Lactose,carbohydrate,1.9087,3,5
Beta_methyl_D_glucoside,carbohydrate,2.011,3,5
D_xylose,carbohydrate,1.8062,3,5
I_Erytritol,carbohydrate,1.1646,3,5
D_Mannitol,carbohydrate,1.9718,3,5
N_acetyl_D_glucosamine,carbohydrate,1.8217,3,5
D_glucosaminic_acid,carboxylic_acid,2.2955,3,5
Glucose_1_phosphate,phosphorylated,2.0655,3,5
D_L_alpha_glycerol_phospate,phosphorylated,1.9813,3,5
D_galactonic_acid_gama_lactone,carboxylic_acid,1.9809999999999999,3,5
D_galactouronic_acid,carboxylic_acid,1.9372,3,5
two_hydroxy_benzoic_Acid,carboxylic_acid,2.121,3,5
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9001,3,5
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9081,3,5
Itaconic_Acid,carboxylic_acid,1.7638,3,5
alpha_keto_butyric_acid,carboxylic_acid,1.9853,3,5
D_malic_Acid,carboxylic_acid,1.7882,3,5
L_Arginine,aminoacid,1.9649,3,5
L_Asparagine,aminoacid,1.8017,3,5
L_phenylalanine,aminoacid,1.6324,3,5
L_serine,aminoacid,2.2398,3,5
L_threonine,aminoacid,2.1432,3,5
Glycyl_L_glutamic_Acid,aminoacid,1.8448,3,5
Phenylethyl_amine,amine,1.7781,3,5
Putrescine,amine,2.0001,3,5
Water,control,1.2445,1,6
Pyruvic_acid_methyl_esther,ester,1.9035,1,6
Tween40,polymer,2.0564,1,6
Tween80,polymer,2.2427,1,6
alpha_cyclodextrin,polymer,1.9821,1,6
Glycogen,polymer,2.1963,1,6
D_cellobiose,carbohydrate,1.9921,1,6
alfa_D_Lactose,carbohydrate,2.2744,1,6
Beta_methyl_D_glucoside,carbohydrate,1.9812,1,6
D_xylose,carbohydrate,1.6679,1,6
I_Erytritol,carbohydrate,1.95,1,6
D_Mannitol,carbohydrate,2.026,1,6
N_acetyl_D_glucosamine,carbohydrate,2.1772,1,6
D_glucosaminic_acid,carboxylic_acid,2.2598,1,6
Glucose_1_phosphate,phosphorylated,2.3338,1,6
D_L_alpha_glycerol_phospate,phosphorylated,2.1473,1,6
D_galactonic_acid_gama_lactone,carboxylic_acid,2.2574,1,6
D_galactouronic_acid,carboxylic_acid,2.0981,1,6
two_hydroxy_benzoic_Acid,carboxylic_acid,2.1306,1,6
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9766,1,6
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.8229,1,6
Itaconic_Acid,carboxylic_acid,1.933,1,6
alpha_keto_butyric_acid,carboxylic_acid,2.3158,1,6
D_malic_Acid,carboxylic_acid,1.7778,1,6
L_Arginine,aminoacid,2.1378,1,6
L_Asparagine,aminoacid,1.7212,1,6
L_phenylalanine,aminoacid,2.0035,1,6
L_serine,aminoacid,2.5094,1,6
L_threonine,aminoacid,2.3194,1,6
Glycyl_L_glutamic_Acid,aminoacid,1.4071,1,6
Phenylethyl_amine,amine,2.1708,1,6
Putrescine,amine,2.2639,1,6
Water,control,1.3291,2,6
Pyruvic_acid_methyl_esther,ester,1.8924,2,6
Tween40,polymer,2.0431,2,6
Tween80,polymer,2.2563,2,6
alpha_cyclodextrin,polymer,1.8527,2,6
Glycogen,polymer,2.3199,2,6
D_cellobiose,carbohydrate,2.1596,2,6
alfa_D_Lactose,carbohydrate,2.2344,2,6
Beta_methyl_D_glucoside,carbohydrate,1.8951,2,6
D_xylose,carbohydrate,1.7345,2,6
I_Erytritol,carbohydrate,1.3089,2,6
D_Mannitol,carbohydrate,1.8999,2,6
N_acetyl_D_glucosamine,carbohydrate,1.926,2,6
D_glucosaminic_acid,carboxylic_acid,2.3363,2,6
Glucose_1_phosphate,phosphorylated,2.4694,2,6
D_L_alpha_glycerol_phospate,phosphorylated,2.2655,2,6
D_galactonic_acid_gama_lactone,carboxylic_acid,2.3944,2,6
D_galactouronic_acid,carboxylic_acid,2.0664,2,6
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4016,2,6
four_hydroxy_benzoic_Acid,carboxylic_acid,1.7784,2,6
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1491,2,6
